Event	Depth sed [m]	Age [ka BP]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Campesterol/sed [µg/g]	Campesterol/TOC [µg/g]	Acc rate campesterol [µg/cm**2/ka]	b-Sitosterol/sed [µg/g]	b-Sitosterol/TOC [µg/g]	Acc rate b-sitosterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]
PS93/025-2	1.53	5.7557	0.0084	1.5094	0.4460	0.0033	0.5981	0.1767	0.0156	2.8091	0.8301	0.0269	4.8270	1.4264
PS93/025-2	1.55	5.8140	0.0159	2.8691	0.8508	0.0087	1.5696	0.4655	0.0358	6.4651	1.9172	0.0466	8.4181	2.4964
PS93/025-2	1.57	5.8703	0.0144	2.5958	0.8894	0.0090	1.6174	0.5542	0.0333	6.0053	2.0576	0.0427	7.7008	2.6385
PS93/025-2	1.60	5.9523	0.0029	0.5249	0.0923	0.0015	0.2654	0.0467	0.0190	3.3916	0.5965	0.0260	4.6449	0.8169
PS93/025-2	1.63	6.1134	0.0108	1.9457	0.3815	0.0050	0.9097	0.1784	0.0215	3.8800	0.7608	0.0282	5.0868	0.9974
PS93/025-2	1.65	6.2000	0.0069	1.3228	0.2439	0.0054	1.0423	0.1922	0.0231	4.4337	0.8174	0.0270	5.1898	0.9568
PS93/025-2	1.67	6.2881	0.0144	2.8170	0.4698	0.0083	1.6165	0.2696	0.0306	5.9782	0.9970	0.0394	7.6964	1.2835
PS93/025-2	1.70	6.4278	0.0104	1.8948	0.3404	0.0072	1.2992	0.2334	0.0262	4.7547	0.8542	0.0350	6.3479	1.1404
PS93/025-2	1.73	6.5645	0.0106	1.8587	0.3597	0.0063	1.1023	0.2133	0.0294	5.1749	1.0014	0.0268	4.7153	0.9124
PS93/025-2	1.74	6.6095	0.0129	2.4423	0.4270	0.0103	1.9411	0.3394	0.0295	5.5868	0.9768	0.0415	7.8562	1.3735
PS93/025-2	1.75	6.6558	0.0100	1.8807	0.3257	0.0040	0.7488	0.1297	0.0142	2.6652	0.4616	0.0109	2.0527	0.3555
PS93/025-2	1.76	6.7029	0.0144	2.7076	0.4408	0.0069	1.3013	0.2119	0.0259	4.8725	0.7933	0.0455	8.5474	1.3915
PS93/025-2	1.77	6.7530	0.0099	1.7596	0.2909	0.0044	0.7796	0.1289	0.0200	3.5752	0.5911	0.0184	3.2849	0.5431
PS93/025-2	1.80	6.9180	0.0113	2.1526	0.3966	0.0092	1.7619	0.3246	0.0380	7.2563	1.3370	0.0460	8.7802	1.6178
PS93/025-2	1.82	7.0000	0.0125	2.3457	0.4911	0.0063	1.1750	0.2460	0.0240	4.5004	0.9421	0.0375	7.0279	1.4712
PS93/025-2	1.83	7.0395	0.0096	1.6959	0.3640	0.0131	2.3106	0.4960	0.0390	6.8859	1.4781	0.0605	10.6736	2.2912
PS93/025-2	1.84	7.0809	0.0117	2.1623	0.4014	0.0072	1.3336	0.2476	0.0253	4.6721	0.8673	0.0314	5.7947	1.0757
PS93/025-2	1.85	7.1265	0.0058	1.1547	0.1884	0.0040	0.7919	0.1292	0.0168	3.3719	0.5501	0.0214	4.2962	0.7009
PS93/025-2	1.86	7.1736	0.0125	2.3045	0.4664	0.0075	1.3889	0.2811	0.0296	5.4488	1.1027	0.0377	6.9441	1.4053
PS93/025-2	1.87	7.2145	0.0138	2.5655	0.4971	0.0079	1.4672	0.2843	0.0365	6.7947	1.3165	0.0339	6.3154	1.2236
PS93/025-2	1.88	7.2573	0.0153	2.8118	0.5521	0.0074	1.3624	0.2675	0.0298	5.4680	1.0737	0.0404	7.4257	1.4582
PS93/025-2	1.90	7.3422	0.0032	0.6447	0.1108	0.0038	0.7686	0.1321	0.0183	3.7051	0.6368	0.0139	2.8047	0.4821
PS93/025-2	1.93	7.4667	0.0121	2.4233	0.4564	0.0059	1.1810	0.2224	0.0242	4.8455	0.9126	0.0294	5.8865	1.1087
PS93/025-2	1.94	7.5073	0.0110	2.3365	0.3886	0.0060	1.2708	0.2113	0.0272	5.7635	0.9585	0.0376	7.9631	1.3243
PS93/025-2	1.95	7.5524	0.0090	1.7809	0.3696	0.0041	0.8073	0.1675	0.0205	4.0545	0.8415	0.0223	4.4057	0.9144
PS93/025-2	1.96	7.5916	0.0131	2.7874	0.4825	0.0071	1.5109	0.2615	0.0274	5.8192	1.0073	0.0413	8.7755	1.5190
PS93/025-2	1.97	7.6351	0.0129	2.7381	0.5120	0.0054	1.1478	0.2146	0.0280	5.9512	1.1129	0.0373	7.9135	1.4798
PS93/025-2	2.00	7.7601	0.0067	1.5180	0.2525	0.0049	1.1199	0.1863	0.0143	3.2532	0.5411	0.0219	4.9841	0.8290
PS93/025-2	2.03	7.8842	0.0070	1.6444	0.2670	0.0049	1.1519	0.1870	0.0178	4.1926	0.6807	0.0192	4.5211	0.7340
PS93/025-2	2.05	7.9914	0.0091	2.1539	0.2893	0.0057	1.3498	0.1813	0.0266	6.2939	0.8453	0.0262	6.1955	0.8321
PS93/025-2	2.07	8.1153	0.0032	0.7604	0.0912	0.0010	0.2487	0.0298	0.0093	2.2164	0.2658	0.0192	4.5809	0.5494
PS93/025-2	2.10	8.2863	0.0031	0.7163	0.0869	0.0003	0.0591	0.0072	0.0109	2.5658	0.3112	0.0163	3.8217	0.4635
PS93/025-2	2.13	8.4566	0.0081	1.9131	0.2104	0.0043	1.0217	0.1123	0.0181	4.2808	0.4707	0.0201	4.7466	0.5219
PS93/025-2	2.15	8.6043	0.0032	0.7039	0.0851	0.0014	0.3154	0.0381	0.0109	2.4333	0.2942	0.0143	3.1868	0.3853
PS93/025-2	2.17	8.7245	0.0057	1.2872	0.1558	0.0032	0.7149	0.0865	0.0132	2.9871	0.3616	0.0145	3.2637	0.3951
