Depth sed [m]	Age [ka BP]	Foram/sed [#/g]	Foram benth [#/g]	Foram benth calc [#/g]	Foram benth agg [#/g]	Foram plankt [#/g]	I. helenae [#/g]	I. norcrossi [#/g]	C. neoteretis [#/g]	C. reniforme [#/g]	E. vitrea [#/g]	E. arctica [#/g]	S. horvathi [#/g]	E. clavatum [#/g]	E. albiumbilicatum [#/g]	E. frigidum [#/g]	E. hallandense [#/g]	S. feylingi [#/g]	S. concava [#/g]	S. fusiformis [#/g]	C. lobatulus [#/g]	B. frigida [#/g]	E. pulchella [#/g]	P. bulloides [#/g]	Q. stalkeri [#/g]	Q. seminulum [#/g]	A. gallowayi [#/g]	M. barleeanus [#/g]	C. arctica [#/g]	R. arctica [#/g]	N. labradorica [#/g]	N. iridea [#/g]	B. elegantissima [#/g]	M. subrotunda [#/g]	G. oculus [#/g]	P. williamsoni [#/g]	Lagena sp. [#/g]	Sagrina sp. [#/g]	T. trihedra [#/g]	T. tricarinata [#/g]	Polymorphina sp. [#/g]	T. fluens [#/g]	B. aff. albatrossi [#/g]	G. glacialis [#/g]	G. arctica [#/g]	H. nivea [#/g]	Fissurina sp. [#/g]	D. pauperata [#/g]	Ammonia sp. [#/g]	Florilus sp. [#/g]
1.50	3.9587	36.0085	35.9385	5.2542	30.6843	0.0701	0.0000	0.0701	0.7706	1.0508	0.0000	0.7706	0.2802	0.3503	0.0000	0.0000	0.0000	1.2610	0.1401	0.0000	0.0000	0.0701	0.0000	0.0000	0.0000	0.0701	0.0000	0.2102	0.0000	0.0000	0.0701	0.0000	0.0701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.55	4.0834	37.8354	37.8354	4.7753	33.0600	0.0000	0.0000	0.0000	0.3673	1.5428	0.0735	0.0000	0.2939	1.2489	0.0000	0.0000	0.0000	0.3673	0.1469	0.0000	0.0000	0.2204	0.0000	0.0000	0.0000	0.1469	0.0000	0.0735	0.0000	0.1469	0.0000	0.0000	0.0735	0.0000	0.0000	0.0735	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.60	4.2082	47.7631	47.3542	12.9222	34.4320	0.4089	0.0000	0.0818	1.3904	3.0261	0.0818	1.3904	1.3086	3.4350	0.0000	0.0000	0.0000	0.4089	0.0818	0.0000	0.0818	0.3271	0.0000	0.0000	0.0000	0.2454	0.2454	0.0818	0.0000	0.0000	0.0818	0.0000	0.4089	0.0000	0.0000	0.0818	0.0000	0.0000	0.1636	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.65	4.3329	40.6316	39.8894	15.8630	24.0264	0.7421	0.0000	0.3711	3.1540	4.9166	0.1855	0.3711	0.6494	3.4323	0.0000	0.0000	0.0000	0.2783	0.2783	0.0000	0.5566	0.5566	0.0000	0.0000	0.0000	0.0000	0.0000	0.2783	0.0000	0.0000	0.2783	0.0000	0.5566	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.70	4.4576	42.0103	41.5228	10.0760	31.4468	0.4875	0.1625	0.0813	2.5190	3.4941	0.0813	0.1625	0.3250	1.4626	0.0813	0.0000	0.0000	0.1625	0.1625	0.0000	0.0813	0.4875	0.0000	0.0000	0.0000	0.0000	0.0000	0.3250	0.0000	0.0000	0.1625	0.0000	0.2438	0.0000	0.0000	0.0000	0.0000	0.0000	0.0813	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.75	4.5824	56.3885	55.0960	13.4105	41.6855	1.2926	0.0000	0.2424	5.0087	5.1703	0.2424	0.3231	0.0000	1.0502	0.0000	0.0000	0.0000	0.1616	0.0808	0.0000	0.1616	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.1616	0.0000	0.0000	0.0000	0.0000	0.4847	0.0000	0.0000	0.0000	0.0808	0.0000	0.0808	0.0000	0.0000	0.0000	0.0000	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.80	4.7071	38.0394	37.3379	6.2360	31.1019	0.7015	0.0000	0.0779	1.4810	1.8708	0.0000	0.6236	0.0000	1.1692	0.0779	0.0000	0.0000	0.3118	0.0000	0.0000	0.0779	0.2338	0.0000	0.0000	0.0000	0.0000	0.0779	0.0779	0.0000	0.0000	0.0000	0.0000	0.1559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.85	4.8318	35.4145	34.3528	8.6451	25.7077	1.0617	0.0000	0.0000	1.2133	4.3225	0.0758	0.0000	0.1517	1.6683	0.0000	0.0000	0.0000	0.1517	0.0000	0.0000	0.1517	0.2275	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0758	0.0000	0.3033	0.0758	0.0000	0.0000	0.0000	0.0000	0.2275	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.90	4.9566	48.5582	47.7712	23.5314	24.2398	0.7870	0.0000	0.1574	5.9025	7.0043	0.0000	0.3935	6.0599	2.9906	0.0000	0.0000	0.0000	0.0000	0.0787	0.0000	0.2361	0.2361	0.0000	0.0000	0.0000	0.0000	0.0787	0.0000	0.0000	0.0000	0.0000	0.0000	0.3935	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.95	5.0813	22.8469	22.3503	4.9667	17.3835	0.4967	0.0000	0.0828	1.4072	0.5795	0.0000	0.0000	0.6622	1.8211	0.0000	0.0000	0.0000	0.0828	0.0000	0.0000	0.0000	0.0828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0828	0.0000	0.0000	0.0828	0.0000	0.0828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.00	5.2060	29.8740	29.7173	3.4992	26.2181	0.1567	0.0000	0.0000	0.8879	0.9923	0.0000	0.0000	0.5223	0.5223	0.1567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0522	0.1045	0.0000	0.0000	0.0000	0.0522	0.0000	0.1045	0.0000	0.0000	0.0000	0.0000	0.0522	0.0000	0.0000	0.0000	0.0522	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.05	5.3308	35.3865	34.2807	9.2719	25.0087	1.1058	0.0000	0.0000	1.7863	1.6162	0.0000	0.0000	2.7220	2.0415	0.0000	0.0000	0.0000	0.0851	0.1701	0.0000	0.0851	0.0000	0.0000	0.0000	0.0000	0.0000	0.0851	0.1701	0.0000	0.0000	0.0000	0.0000	0.5104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.10	5.4555	60.5494	58.7174	31.2365	27.4808	1.8321	0.0000	0.8244	8.6107	6.5038	0.0916	0.8244	7.1450	3.6641	0.0000	0.0000	0.0000	0.0000	0.2748	0.0000	0.2748	1.0076	0.0000	0.0000	0.0000	0.0000	0.0916	0.1832	0.0000	0.0000	0.3664	0.0916	1.0076	0.0000	0.0000	0.0000	0.0916	0.0000	0.0916	0.0000	0.0000	0.0916	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.15	5.5802	60.3796	57.0649	32.4321	24.6328	3.3147	0.0000	0.3250	5.3945	7.8643	0.3900	0.9749	7.5393	6.2394	0.1300	0.0000	0.0000	0.1950	0.5200	0.0000	0.1950	1.2349	0.0000	0.1300	0.0000	0.1300	0.0650	0.0650	0.0000	0.0000	0.3250	0.0000	0.7149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.20	5.7050	43.0891	42.2970	6.6535	35.6436	0.7921	0.0000	0.0792	1.2673	0.9505	0.0792	0.2376	2.0594	1.0297	0.0000	0.0000	0.0000	0.0792	0.0000	0.0000	0.1584	0.2376	0.0000	0.0792	0.0000	0.0000	0.0000	0.0792	0.0000	0.0792	0.0000	0.0000	0.2376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.25	5.8297	30.8942	29.8955	12.5175	17.3780	0.9987	0.0000	0.0666	2.6633	1.6646	0.1997	0.3995	3.8618	1.7977	0.0000	0.0000	0.0000	0.3329	0.0666	0.0000	0.0000	0.1997	0.0000	0.0666	0.0000	0.0000	0.0000	0.1332	0.0000	0.0000	0.0666	0.0000	0.7324	0.0000	0.0000	0.0000	0.0000	0.0000	0.0666	0.0666	0.0000	0.0000	0.0000	0.0000	0.0666	0.0666	0.0000	0.0000	0.0000	0.0000
2.30	5.9532	33.0449	32.3688	10.7332	21.6355	0.6761	0.0000	0.0845	2.1128	1.6903	0.2535	0.3381	3.8031	1.2677	0.0000	0.0000	0.0000	0.0000	0.0845	0.0000	0.0845	0.4226	0.0000	0.1690	0.0000	0.0000	0.0000	0.1690	0.0000	0.0845	0.0000	0.0000	0.1690	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.35	6.0764	25.7917	25.5599	7.3028	18.2571	0.2318	0.0000	0.0000	1.1592	1.3910	0.1159	0.1739	1.7967	1.6228	0.0000	0.0000	0.0000	0.3478	0.0000	0.0000	0.0580	0.0580	0.0000	0.1159	0.0000	0.0580	0.0000	0.2318	0.0000	0.0000	0.0580	0.0000	0.1159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.40	6.1997	78.3324	76.2226	45.7336	30.4890	2.1097	0.0000	0.0000	4.3556	7.3500	0.2042	1.0208	19.2598	8.3709	0.2042	0.0000	0.0000	0.8847	1.4292	0.0000	0.2042	0.6806	0.1361	0.2042	0.0000	0.0000	0.0000	0.2042	0.0000	0.0000	0.0000	0.0000	1.1570	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.45	6.3229	71.8262	70.6068	25.0955	45.5113	1.2193	0.0000	0.3131	9.3264	7.1513	0.1648	0.6591	0.5602	3.4109	0.0494	0.0000	0.0000	1.5654	0.1648	0.0000	0.0989	0.6262	0.0000	0.0000	0.0000	0.1813	0.0000	0.2472	0.0000	0.0000	0.0000	0.0000	0.4943	0.0000	0.0000	0.0000	0.0824	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.50	6.4461	70.7355	66.3835	41.3747	25.0087	4.3520	0.1226	0.8581	18.2662	10.4203	0.3678	0.1839	0.1226	7.5394	0.0613	0.0000	0.0000	0.2452	0.0000	0.0000	0.4904	1.1033	0.0613	0.0000	0.0000	0.3065	0.1226	0.2452	0.0000	0.0613	0.1839	0.0000	0.2452	0.0000	0.0000	0.0000	0.2452	0.0000	0.1226	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.55	6.5921	34.0406	33.1152	18.1109	15.0043	0.9254	0.0000	0.0661	6.9403	3.7676	0.1983	0.0661	0.0000	5.8166	0.0000	0.0000	0.0000	0.1983	0.0661	0.0661	0.0000	0.1983	0.0000	0.0000	0.0000	0.0000	0.1322	0.3305	0.0000	0.0000	0.0000	0.0000	0.1983	0.0000	0.0000	0.0000	0.0661	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.60	6.7407	43.2496	40.6041	19.0716	21.5325	2.6454	0.0000	0.1230	7.6287	6.1521	0.0615	0.2461	0.1230	3.1376	0.0615	0.0000	0.0000	0.3691	0.1230	0.0000	0.1230	0.1230	0.0000	0.0000	0.0000	0.0000	0.0615	0.1230	0.0000	0.0615	0.0615	0.0000	0.3691	0.0000	0.0000	0.0000	0.0000	0.0000	0.1230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
