lib_id,depth_in_core,age_min,age_max,age_median,core,DNA_conc_raw_extracts,cleaned_reads
SCR_086,65,4486,5475,4981,LK21_ICst26,2.62,50633
cap49_Lib006_060,203,5460,5102,5280.9,DA17_st7_73G,8.82,173336
DA17 NG G73 st 7 sec 3 87-88 cm,203,,,5280.9,DA17_st7_73G,8.82,
SCR_129,17.5,5190,5380,5281,Ryder19_12_GC,0.172,34545
SCR_087,70,4824,5693,5252,LK21_ICst26,2.375,88491
SCR_148,213,5708,5352,5530.3,DA17_st7_73G,1.94,303382
"DA17 st7 73G sect 3, 97-98",213,,,5530.3,DA17_st7_73G,1.94,
cap_LK21-ICst26_sec3_60cm,75,4995,6099,5497,LK21_ICst26,2.665,1048493
SCR_149,217,5808,5452,5630.1,DA17_st7_73G,0.526,211674
DA17 NG G73 st 7 sec 2 1-2 cm,217,,,5630.1,DA17_st7_73G,0.526,
cap11_Lib006_048,219,5857,5503,5680,DA17_st7_73G,0.76,237077
DA17 NG G73 st 7 sec 2 3-4 cm,219,,,5680,DA17_st7_73G,0.76,
SCR_157,80,5179,6440,5752,LK21_ICst26,1.7,64169
cap44_Lib006_054,234,6231,5873,6051.8,DA17_st7_73G,0.61,260782
"DA17 st7 73G sect 2, 18-19",234,,,6051.8,DA17_st7_73G,0.61,
SCR_163,85,5382,6745,6009,LK21_ICst26,1.155,43134
DA17 NG G73 st 7 sec 2 21-22 cm,237,,,6125.7,DA17_st7_73G,0.63,
SCR_150,239,6356,5995,6175,DA17_st7_73G,1.22,234578
"DA17 st7 73G sect 2, 23-24",239,,,6175,DA17_st7_73G,1.22,
cap28_Lib006_023,90,5602,7019,6268,LK21_ICst26,2.1,327729
SCR_151,249,6606,6238,6421.4,DA17_st7_73G,0.88,283803
"DA17 st7 73G sect 2, 33-34",249,,,6421.4,DA17_st7_73G,0.88,
cap_Ryder19_12_GC1_25_5cm,25.5,6418,6589,6510,Ryder19_12_GC,0.2645,544740
SCR_158,95,5831,7272,6531,LK21_ICst26,2,41312
cap58_Lib006_083,254,6749,6379,6562.4,DA17_st7_73G,1.69,234131
DA17 NG G73 st 7 sec 2 38-39 cm,254,,,6562.4,DA17_st7_73G,1.69,
"DA17 st7 73G sect 2, 43-44",259,,,6711,DA17_st7_73G,0.63,
SCR_126,30.5,6743,6937,6843,Ryder19_12_GC,0.137,87762
"DA17 st7 73G sect 2, 48-49",264,,,6859.5,DA17_st7_73G,0.82,
cap14_Lib006_077,267,7141,6765,6948.7,DA17_st7_73G,,277897
cap07_Lib006_029,100,6086,7511,6792,LK21_ICst26,0.4245,312983
DA17 NG G73 st 7 sec 2 53-54 cm,269,,,7008.1,DA17_st7_73G,0.792,
cap_Ryder19_12_GC1_35_5cm,35.5,7010,7218,7114,Ryder19_12_GC,0.1175,852408
DA17 NG G73 st 7 sec 2 58-59 cm,274,,,7156.7,DA17_st7_73G,1.05,
"DA17 st7 73G sect 2, 61-62",277,,,7245.8,DA17_st7_73G,0.84,
cap139_SCR_184,77,7207,7342,7272,Ryder19_24_PC,0,4912
DA17 NG G73 st 7 sec 2 63-64 cm,279,,,7305.3,DA17_st7_73G,0.569,
cap_LK21-ICst26_sec3_95cm,110,6656,7955,7309,LK21_ICst26,0.533,4671500
cap_DA17_st7_73G_sect2_cm68_69,284,7653,7271,7453.8,DA17_st7_73G,,361269
cap_Ryder19_12_GC1_50_5cm,50.5,7402,7587,7494,Ryder19_12_GC,0.064,921566
DA17 NG G73 st 7 sec 2 71-72 cm,287,,,7543,DA17_st7_73G,0.437,
SCR_120,55.5,7532,7710,7621,Ryder19_12_GC,0.128,184638
"DA17 st7 73G sect 2, 78-79",294,,,7751,DA17_st7_73G,0.4,
DA17 NG G73 st 7 sec 2 81-82,297,,,7840.1,DA17_st7_73G,0.64,
cap_LK21-ICst26_sec2_5cm,120,7105,8569,7814,LK21_ICst26,0.8445,617650
SCR_118,65.5,7793,7957,7875,Ryder19_12_GC,0.084,159404
cap_DA17_st7_73G_sect2_cm83_84,299,8106,7716,7899.5,DA17_st7_73G,,572797
DA17 NG G73 st 7 sec 2 88-89 cm,304,,,8055.6,DA17_st7_73G,0.736,
cap139_SCR_183,137,8069,8217,8143,Ryder19_24_PC,0,
SCR_175,125,7339,8842,8071,LK21_ICst26,1.505,156618
SCR_152,309,8425,8019,8214.8,DA17_st7_73G,0.925,0
DA17 NG G73 st 7 sec 2 93-94 cm,309,,,8214.8,DA17_st7_73G,0.925,
cap46_Lib006_059,314,8586,8170,8374.1,DA17_st7_73G,,382146
SCR_174,130,7582,9103,8326,LK21_ICst26,3.075,37909
SCR_115,80.5,8296,8566,8443,Ryder19_12_GC,0,50959
SCR_155,320,8780,8352,8565.2,DA17_st7_73G,0.284,293664
DA17 NG G73 st 7 sec 1 4-5 cm,320,,,8565.2,DA17_st7_73G,0.284,
cap_LK21-ICst26_sec2_20cm,135,7854,9339,8582,LK21_ICst26,5.445,2478075
cap139_SCR_182,197,8545,8715,8629,Ryder19_24_PC,0.965,1263
cap43_Lib006_053,325,8941,8504,8724.4,DA17_st7_73G,,290488
SCR_172,140,8147,9574,8836,LK21_ICst26,1.78,86330
"DA17 st7 73G sect 1, 14-15",330,,,8883.6,DA17_st7_73G,0.58,
cap138_SCR_181,267.5,8808.5,9079.5,8942.5,Ryder19_24_PC,0.865,1474
SCR_153,335,9263,8807,9042.9,DA17_st7_73G,0.78,372483
DA17 NG G73 st 7 sec 1 19-20 cm,335,,,9042.9,DA17_st7_73G,0.78,
SCR_111,90.5,8951,9302,9115,Ryder19_12_GC,0.056,6489
cap138_SCR_180,330,8993,9245,9117,Ryder19_24_PC,0.735,3403
cap_DA17_st7_73G_sect1_cm24_25,340,9425,8958,9202.1,DA17_st7_73G,,447246
cap_LK21-ICst26_sec2_35cm,150,8556,10071,9280,LK21_ICst26,1.875,899138
cap138_SCR_179,390,9146,9391,9266,Ryder19_24_PC,0.99,3338
cap138_SCR_178,476,9323,9647,9478,Ryder19_24_PC,0.755,826
SCR_154,350,9733,9232,9495.8,DA17_st7_73G,0.56,275395
DA17 NG G73 st 7 sec 1 34-35 cm,350,,,9495.8,DA17_st7_73G,0.56,
SCR_109,100.5,9401,9717,9552,Ryder19_12_GC,0,7528
SCR_171,160,9000,10535,9723,LK21_ICst26,0.1935,39197
SCR_107,110.5,9569,9813,9696,Ryder19_12_GC,0.056,3561
SCR_106,115.5,9646,9881,9766,Ryder19_12_GC,0,906
cap68_Lib006_016,165,9236,10765,9940,LK21_ICst26,0.949,224780
SCR_105,125.5,9799,10018,9906,Ryder19_12_GC,0,3738
SCR_169,170,9462,11038,10175,LK21_ICst26,0.7645,50131
SCR_104,138.5,9991,10225,10103,Ryder19_12_GC,0,1216
SCR_103,148.5,10121,10459,10294,Ryder19_12_GC,0,3131
cap_LK21-ICst26_sec2_65cm,180,9816,11764,10666,LK21_ICst26,0.59,3942958
SCR_101,168.5,10381,10926,10674,Ryder19_12_GC,0,12734
SCR_099,178.5,10511,11159,10865,Ryder19_12_GC,0,741
cap_LK21-ICst26_sec2_80cm,195,10369,12772,11415,LK21_ICst26,0.1495,3581541
SCR_098,188.5,10641,11392,11055,Ryder19_12_GC,0,1503
SCR_167,200,10566,13107,11670,LK21_ICst26,0,34510
SCR_096,208.5,10874,11878,11435,Ryder19_12_GC,0.05,5206
SCR_166,205,10763,13427,11921,LK21_ICst26,0,28618
SCR_095,218.5,10972,12134,11625,Ryder19_12_GC,0.0745,7830
cap_LK21-ICst26_sec2_95cm,210,10956,13752,12178,LK21_ICst26,0,731637
cap65_Lib006_003,220,,,12300,LK21_ICst26,0,47993
cap34_Lib006_009,235,,,12350,LK21_ICst26,0,316545
cap67_Lib006_015,250,,,12400,LK21_ICst26,,207058
cap27_Lib006_021,265,,,12450,LK21_ICst26,,316542
cap18_Lib006_027,280,,,12500,LK21_ICst26,,213022
cap22_Lib006_033,295,,,12550,LK21_ICst26,,185977
cap12_Lib006_080,,,,,LK21_ICst36,,162398
cap15_Lib006_064,,,,,LK21_ICst36,,303545
cap31_Lib006_031,,,,,blank,,163
cap32_Lib006_018,,,,,blank,,501
cap47_Lib006_056,,,,,blank,,5694
cap48_Lib006_032,,,,,blank,,428
cap61_Lib006_045,,,,,blank,,1032
cap62_Lib006_046,,,,,blank,,2290
cap63_Lib006_087,,,,,blank,,164
cap64_Lib006_089,,,,,blank,,133
cap69_Lib006_090,,,,,blank,,317
cap70_Lib006_091,,,,,blank,,300
SCR_067,,,,,blank,,793
SCR_074,,,,,blank,,361
